,subgroup,TOXICITY@1_subgroup_auc,TOXICITY@1_bpsn_auc,TOXICITY@1_bnsp_auc,TOXICITY@2_subgroup_auc,TOXICITY@2_bpsn_auc,TOXICITY@2_bnsp_auc,TOXICITY@3_subgroup_auc,TOXICITY@3_bpsn_auc,TOXICITY@3_bnsp_auc,TOXICITY@4_subgroup_auc,TOXICITY@4_bpsn_auc,TOXICITY@4_bnsp_auc,TOXICITY@5_subgroup_auc,TOXICITY@5_bpsn_auc,TOXICITY@5_bnsp_auc,TOXICITY@6_subgroup_auc,TOXICITY@6_bpsn_auc,TOXICITY@6_bnsp_auc
25,canadian,0.91820246104,0.930217116944,0.905500861146,0.987039968342,0.990172811935,0.967935303977,0.986969302957,0.990128188436,0.967574859856,0.987082367573,0.990170099526,0.967909754837,0.998336222762,0.997271404317,0.99056344254,0.984197649512,0.975209240459,0.993873587404
26,american,0.932613096023,0.937449222361,0.911582254401,0.98549710743,0.981183178295,0.978681198152,0.985462167323,0.981114818435,0.978530486783,0.985510455336,0.981180421662,0.978703158554,0.995908081608,0.995111493982,0.987785777109,0.992133568571,0.990755041256,0.990531105381
27,asian,0.920306719179,0.89721069011,0.937992717795,0.983437604035,0.97349539188,0.983916816199,0.983321398735,0.9733120418,0.983726860091,0.983342598351,0.973406319877,0.983884748528,0.988260123994,0.984610667851,0.990873663351,0.993691936608,0.988305756011,0.993992802142
28,indian,0.927355983945,0.913135985474,0.932177794717,0.985727162518,0.976646510845,0.983947002683,0.98558818726,0.976444742634,0.983788501767,0.985634512346,0.976616805594,0.98388291109,0.997164747709,0.995777829576,0.990438496745,0.997328063266,0.994085899009,0.993993502119
29,middle eastern,0.897860252134,0.925406397575,0.89179107873,0.984246330111,0.99818662352,0.900548134055,0.984287159,0.998164180525,0.900474417786,0.984208641906,0.998178180054,0.900573420704,0.969116085954,0.982819471875,0.979741587946,0.990926564532,0.992778692997,0.985884581234
30,chinese,0.917850704455,0.914296896409,0.922530369353,0.983728117286,0.972684906653,0.984556157185,0.983387353095,0.972596097141,0.984191425709,0.983697495619,0.972685344138,0.984524045766,0.995025156877,0.993650294918,0.989097823108,0.99345324464,0.993950147328,0.98844785123
31,japanese,0.907439337693,0.915318162044,0.911905383134,0.986316040728,0.9874561596,0.972059565196,0.986198265086,0.987346350795,0.971828047986,0.98633409966,0.987443428779,0.972073608473,0.990057380293,0.989671235063,0.988149748761,0.986377284062,0.990634533898,0.985367211143
32,christian,0.997245179063,0.999005766554,0.889198205961,0.998163452709,0.988675781478,0.989362706404,0.999081726354,0.988937897568,0.989102598866,0.998163452709,0.988657704506,0.989237171878,1.0,1.0,0.986023488012,1.0,1.0,0.990937411498
33,muslim,0.990817263545,0.971701505008,0.953574319452,0.998163452709,0.992574381717,0.986926332323,0.998163452709,0.992499061002,0.986779707997,0.998163452709,0.992566347508,0.986777699444,1.0,0.999995982895,0.997163923988,1.0,0.99999196579,0.997572664405
34,jewish,0.992653810836,0.985415900906,0.931371781044,0.997245179063,0.95530970874,0.997762472608,0.997245179063,0.954996374563,0.997893028515,0.997245179063,0.955427209056,0.997699203207,1.0,0.999911623694,0.994375048958,1.0,0.999993974343,0.996680867132
35,buddhist,0.994490358127,0.998497602793,0.851885327725,1.0,0.999118245489,0.964241741335,1.0,0.999098159965,0.964469712034,1.0,0.999080082993,0.964694669904,1.0,0.999997991448,0.983900448108,1.0,1.0,0.993423999389
36,catholic,0.995408631772,0.998467474506,0.881987502787,0.996326905418,0.980496956039,0.991459635126,0.997245179063,0.980721913909,0.990993650966,0.997245179063,0.980378451446,0.99159119531,1.0,1.0,0.972940781849,1.0,1.0,0.982002366075
37,protestant,0.992653810836,0.995344175499,0.894478690263,0.993572084481,0.984196709589,0.982511534112,0.993572084481,0.983974764547,0.983140211019,0.993572084481,0.984306175696,0.982440230501,1.0,1.0,0.974098712317,1.0,1.0,0.981017171115
38,sikh,0.995408631772,0.997945250878,0.893540696285,1.0,0.992259038988,0.988002916418,1.0,0.992224893597,0.988097318382,1.0,0.992272094579,0.98783821512,1.0,1.0,0.976409551872,1.0,0.999977905923,0.923548469383
39,taoist,0.98347107438,0.995231696564,0.870538754015,1.0,0.998616107385,0.973240056159,1.0,0.998604056071,0.971866206306,1.0,0.998616107385,0.972873495343,0.993572084481,0.998633180081,0.958894974803,1.0,1.0,0.976482864035
40,old,0.995408631772,0.998983672477,0.864850533572,1.0,0.99346617899,0.985437994983,1.0,0.993488273067,0.985488208793,1.0,0.99339989676,0.985469127545,1.0,0.999983931581,0.937194574498,1.0,1.0,0.953371455658
41,older,1.0,1.0,0.797790994053,1.0,0.998837048151,0.965123495845,1.0,0.998827005389,0.965338410954,1.0,0.99885311657,0.965225932019,1.0,0.999997991448,0.939319622955,1.0,1.0,0.95204681534
42,young,1.0,1.0,0.809233717168,1.0,0.999507904658,0.95076234607,1.0,0.99950991321,0.951494463425,1.0,0.999507904658,0.95065087141,1.0,1.0,0.936173225595,1.0,1.0,0.950444994788
43,younger,1.0,1.0,0.804927380787,1.0,0.999672605956,0.929889469361,1.0,0.999661558918,0.929999939743,1.0,0.999680640166,0.929699661157,1.0,1.0,0.92525473466,1.0,1.0,0.954103573014
44,teenage,1.0,0.999959828952,0.834828700607,1.0,0.999297006654,0.952130170265,1.0,0.999240767187,0.951880105489,1.0,0.999283951064,0.951993588701,1.0,0.999997991448,0.914032952311,1.0,1.0,0.955998642219
45,millenial,0.98347107438,0.995231696564,0.870538754015,0.999081726354,0.985281327894,0.993134767841,0.999081726354,0.98518190455,0.992625599804,0.998622589532,0.985227096979,0.992734061634,1.0,0.999997991448,0.939019344368,1.0,1.0,0.962173936622
46,middle aged,0.959595959596,0.975357070406,0.89155022084,0.993572084481,0.974810744149,0.991640404844,0.994031221304,0.975148180955,0.990746599019,0.994031221304,0.974830829673,0.991369250268,1.0,0.999654528984,0.971427337604,1.0,1.0,0.944717607573
47,elderly,0.99173553719,0.998710509349,0.833177670521,1.0,0.995962809643,0.977439939261,1.0,0.995973856682,0.977409810975,1.0,0.995945736948,0.977444960642,1.0,0.999995982895,0.928834979342,1.0,1.0,0.960586175937
48,blind,0.921028466483,0.976590321589,0.855888372691,0.984389348026,0.956544968476,0.991716729836,0.984848484848,0.955680286661,0.991600233796,0.985307621671,0.956719712536,0.991544998604,0.881083562902,0.974163990271,0.949875570178,0.972451790634,0.998720552111,0.931203062641
49,deaf,0.948576675849,0.975031684914,0.884630757767,0.980716253444,0.937415515264,0.994333873634,0.979797979798,0.935907092399,0.994190262136,0.980257116621,0.937583229391,0.994565861438,0.892561983471,0.98905640216,0.93367157356,0.976584022039,0.996281165201,0.955512572534
50,paralyzed,0.926538108356,0.974985488209,0.853008108526,0.993572084481,0.991160360816,0.969536285504,0.994490358127,0.991176429236,0.968853377682,0.994031221304,0.991219613113,0.969095408248,0.80303030303,0.991269826923,0.880314378624,0.929292929293,0.999562135573,0.886355100016
